base,predictor,beta,se,ci_lo,ci_hi,beta_std,p_raw,n,r2,dataset,family,set,p_adj,sig_adj
Analytic,crt2_total,-1.5424213955497634,1.048640976608004,-3.597757709701451,0.5129149186019244,-0.07051126059561753,0.1413245122805125,477,0.012951542794935045,full,Summary,crt2_total_stacked,0.4712753556283984,False
Clout,crt2_total,-0.5548461345313347,0.6403838510201932,-1.8099984825309134,0.7003062134682441,-0.03581588890842717,0.3862558067802091,477,0.16972633968206408,full,Summary,crt2_total_stacked,0.4712753556283984,False
Authentic,crt2_total,1.0748567660186794,1.2545110986678514,-1.3839849873703092,3.533698519407668,0.04130672762280633,0.39155910187942,477,0.002940437689660347,full,Summary,crt2_total_stacked,0.4712753556283984,False
Tone,crt2_total,0.7599774955304529,1.0549301471081722,-1.307685592801565,2.8276405838624705,0.033504577111263825,0.4712753556283984,477,0.007390738450874124,full,Summary,crt2_total_stacked,0.4712753556283984,False
WC,crt2_total,4.071777625133154,3.841916977322979,-3.458379650419884,11.601934900686192,0.06400633390659981,0.289222093417296,477,0.019574509032676768,full,QuantityLength,crt2_total_stacked,0.578444186834592,False
WPS,crt2_total,0.28236832527479583,1.0362278908393823,-1.7486383407703934,2.3133749913199853,0.018861839055118755,0.7852403920262541,477,0.002682613097456543,full,QuantityLength,crt2_total_stacked,0.7852403920262541,False
article,crt2_total,-0.2968476824329795,0.1524028272035694,-0.5955572237519755,0.001861858886016532,-0.058694572225801656,0.05144089727027202,477,0.014926619119823514,full,FunctionAnalytic,crt2_total_stacked,0.36008628089190414,False
prep,crt2_total,0.10942665061551432,0.13510245760979428,-0.15537416629968248,0.3742274675307111,0.03609685119574812,0.41796714738206486,477,0.01675642673048494,full,FunctionAnalytic,crt2_total_stacked,0.7314425079186135,False
i,crt2_total,0.07560627358323622,0.14304928372165363,-0.20477032251120486,0.35598286967767734,0.023745387897911436,0.5971294174560373,477,0.133546972440986,full,FunctionAnalytic,crt2_total_stacked,0.819049398999998,False
ipron,crt2_total,0.033679446688858056,0.11313110126841953,-0.18805751179724423,0.25541640517496034,0.013985623623428013,0.7659299989404801,477,0.005689323107574418,full,FunctionAnalytic,crt2_total_stacked,0.819049398999998,False
auxverb,crt2_total,0.13421406947834721,0.14669931366946048,-0.15331658531379536,0.4217447242704898,0.045175466317206384,0.36024818354841526,477,0.02458119905044087,full,FunctionAnalytic,crt2_total_stacked,0.7314425079186135,False
conj,crt2_total,0.15457908015173927,0.13628936784198345,-0.11254808081854828,0.4217062411220268,0.06011060025653827,0.2567116513257527,477,0.008041293146361372,full,FunctionAnalytic,crt2_total_stacked,0.7314425079186135,False
adj,crt2_total,0.02441914968439216,0.10674207747835895,-0.1847953221731914,0.2336336215419757,0.010044458236816533,0.819049398999998,477,0.027314515625155633,full,FunctionAnalytic,crt2_total_stacked,0.819049398999998,False
insight,crt2_total,-0.15969811448102533,0.1253053498178629,-0.4052966001240366,0.08590037116198596,-0.07314418566758145,0.20249631778937072,477,0.009988519297619014,full,CognitiveComplexity,crt2_total_stacked,0.35559172052319565,False
cause,crt2_total,-0.05795042825986498,0.07525881814439118,-0.2054577118228717,0.08955685530314172,-0.04030606256629524,0.4412909207536201,477,0.0068642241822212124,full,CognitiveComplexity,crt2_total_stacked,0.5295491049043441,False
discrep,crt2_total,0.18363438075944466,0.1215414267102392,-0.054586815592624155,0.42185557711151345,0.08084275095006586,0.13081929995752833,477,0.008918270225082736,full,CognitiveComplexity,crt2_total_stacked,0.35559172052319565,False
tentat,crt2_total,0.14171793280707862,0.1198597777285817,-0.09320723154094152,0.37664309715509875,0.05687025889780119,0.23706114701546377,477,0.039507385709842024,full,CognitiveComplexity,crt2_total_stacked,0.35559172052319565,False
differ,crt2_total,0.15895178272967836,0.12833349335239633,-0.09258186424101844,0.41048542970037516,0.0654754928196375,0.2154996795801033,477,0.010067665870212794,full,CognitiveComplexity,crt2_total_stacked,0.35559172052319565,False
certitude,crt2_total,0.004733318292360213,0.03912214948654298,-0.07194609470126404,0.08141273128598445,0.005510417353263352,0.9037003846892171,477,0.0029574914762170446,full,CognitiveComplexity,crt2_total_stacked,0.9037003846892171,False
emo_pos,crt2_total,0.0014663496217240356,0.026969104809495756,-0.05139309580488764,0.05432579504833572,0.0022833134899710944,0.9566392162878888,477,0.060816982755636184,full,ToneAffect,crt2_total_stacked,0.9566392162878888,False
emo_neg,crt2_total,-0.06247706726499757,0.05282148886896441,-0.1660071854481678,0.041053050918172664,-0.059904150861133376,0.23688984476742858,477,0.06952606200356837,full,ToneAffect,crt2_total_stacked,0.47377968953485716,False
focuspast,crt2_total,-0.07490096927115689,0.17183857611315148,-0.41170457845293373,0.26190263991062,-0.02600972802219941,0.662923920278113,477,0.17522714100851822,full,TimeFocus,crt2_total_stacked,0.9097904343900437,False
focuspresent,crt2_total,-0.01447408723026874,0.12774686122140944,-0.26485793522423123,0.23590976076369377,-0.006084594927365551,0.9097904343900437,477,0.011983900116444901,full,TimeFocus,crt2_total_stacked,0.9097904343900437,False
want,crt2_total,0.006867531824341589,0.02466022701035709,-0.0414665131159583,0.055201576764641484,0.013525179249393154,0.7806391908582965,477,0.009491664496824703,full,Motivation,crt2_total_stacked,0.8554334445177342,False
risk,crt2_total,-0.009158019503873422,0.05026625078958841,-0.10767987105146669,0.08936383204371985,-0.008974559638109,0.8554334445177342,477,0.0793744593932012,full,Motivation,crt2_total_stacked,0.8554334445177342,False
Analytic,crt2_total,-1.1426226772751242,2.212951405492795,-5.480007432041002,3.1947620774907532,-0.04971273658039962,0.6056209558545678,103,0.016780227135766546,naive,Summary,crt2_total_stacked,0.6056209558545678,False
Clout,crt2_total,2.3109496120933306,1.0821750701590742,0.18988647458154517,4.432012749605116,0.14848930335210483,0.03272284815851997,103,0.17582845008710712,naive,Summary,crt2_total_stacked,0.13089139263407987,False
Authentic,crt2_total,-2.297334008880223,2.3300387201926283,-6.864209900457774,2.269541882697328,-0.09579359007288896,0.3241508395756981,103,0.00929429831756512,naive,Summary,crt2_total_stacked,0.6056209558545678,False
Tone,crt2_total,1.7790192850498128,2.43046136066501,-2.984684981853607,6.542723551953233,0.07618469836009072,0.46418826437435845,103,0.04840554021504395,naive,Summary,crt2_total_stacked,0.6056209558545678,False
WC,crt2_total,8.831213458938024,8.169509088279796,-7.1810243540903755,24.843451271966423,0.1448482859338855,0.27969852200029066,103,0.03209853937516416,naive,QuantityLength,crt2_total_stacked,0.27969852200029066,False
WPS,crt2_total,-4.074250606553698,2.035460694319951,-8.063753567420802,-0.08474764568659454,-0.3409069688676614,0.04532393630937575,103,0.1163345312384495,naive,QuantityLength,crt2_total_stacked,0.0906478726187515,False
article,crt2_total,-0.33783111116795017,0.23211639191317818,-0.7927792393177794,0.11711701698187904,-0.03805597603729385,0.14554793080541784,103,0.0016940148072521755,naive,FunctionAnalytic,crt2_total_stacked,0.32874336777272045,False
prep,crt2_total,-0.08703800430262534,0.30483086856257813,-0.6845065066852785,0.5104304980800278,-0.026163437773792417,0.7752390124504132,103,0.03707166932665551,naive,FunctionAnalytic,crt2_total_stacked,0.7826947766284098,False
i,crt2_total,-0.3138010056483878,0.2854972127193487,-0.8733755425783112,0.24577353128153562,-0.11670168375208094,0.2717076170409872,103,0.15159970675055012,naive,FunctionAnalytic,crt2_total_stacked,0.38039066385738207,False
ipron,crt2_total,0.4155185034826847,0.2452409583230089,-0.06515377483041274,0.8961907817957822,0.17176459914058576,0.09020306488147437,103,0.039217163099783514,naive,FunctionAnalytic,crt2_total_stacked,0.32874336777272045,False
auxverb,crt2_total,0.07346702553757348,0.2663692177504021,-0.44861664125321465,0.5955506923283616,0.024696427084563745,0.7826947766284098,103,0.042657949674339446,naive,FunctionAnalytic,crt2_total_stacked,0.7826947766284098,False
conj,crt2_total,-0.349790559180149,0.26560533746781995,-0.8703770206170761,0.1707959022567781,-0.13519220754056394,0.18785335301298312,103,0.020922262165896544,naive,FunctionAnalytic,crt2_total_stacked,0.32874336777272045,False
adj,crt2_total,0.3043506919027034,0.2252676347348004,-0.13717387217750537,0.7458752559829123,0.13112497675280851,0.17667535843581395,103,0.02506578691488659,naive,FunctionAnalytic,crt2_total_stacked,0.32874336777272045,False
insight,crt2_total,-0.3976654317159705,0.3139812392181248,-1.013068660583495,0.2177377971515541,-0.1906862080635057,0.20532479423943784,103,0.041025238224339566,naive,CognitiveComplexity,crt2_total_stacked,0.6126522624720248,False
cause,crt2_total,-0.1629707863300899,0.1593127540788764,-0.4752237843246877,0.14928221166450786,-0.12023272019308755,0.3063261312360124,103,0.02279828897795666,naive,CognitiveComplexity,crt2_total_stacked,0.6126522624720248,False
discrep,crt2_total,-0.056609309120206376,0.23088766195578922,-0.5091491265535533,0.3959305083131405,-0.02966633906443519,0.8063161488748068,103,0.001074274597066105,naive,CognitiveComplexity,crt2_total_stacked,0.8063161488748068,False
tentat,crt2_total,0.17757113220152201,0.2600001079498651,-0.33202907938021364,0.6871713437832576,0.0747195702749017,0.4946285738815893,103,0.007274234148250791,naive,CognitiveComplexity,crt2_total_stacked,0.7031830682724423,False
differ,crt2_total,0.14516032515750665,0.26651442703376677,-0.37720795182867617,0.6675286021436895,0.05980063771428097,0.5859858902270352,103,0.005571739289033206,naive,CognitiveComplexity,crt2_total_stacked,0.7031830682724423,False
certitude,crt2_total,0.08803687590503499,0.07194797754250665,-0.052981160078278036,0.22905491188834803,0.0941997188464914,0.22109617975823725,103,0.016265866635500337,naive,CognitiveComplexity,crt2_total_stacked,0.6126522624720248,False
emo_pos,crt2_total,0.06531587140742778,0.04720102793176004,-0.02719814333882188,0.15782988615367743,0.11523251885294725,0.16642561483786023,103,0.053127003750181645,naive,ToneAffect,crt2_total_stacked,0.3108204597978689,False
emo_neg,crt2_total,-0.14115428998859048,0.13927382025994112,-0.41413097769807505,0.1318223977208941,-0.15025301137154912,0.3108204597978689,103,0.06508208784637792,naive,ToneAffect,crt2_total_stacked,0.3108204597978689,False
focuspast,crt2_total,0.2381381439937535,0.3361064352752054,-0.4206304691456491,0.8969067571331562,0.08271433592793688,0.4786223736212969,103,0.1549564828319332,naive,TimeFocus,crt2_total_stacked,0.4786223736212969,False
focuspresent,crt2_total,0.28836944951459303,0.2773754545142629,-0.25528644133336215,0.8320253403625482,0.122217096180874,0.29850914293859654,103,0.031061332814368736,naive,TimeFocus,crt2_total_stacked,0.4786223736212969,False
want,crt2_total,0.05822649784389733,0.05240896191761204,-0.04449506751462226,0.16094806320241692,0.1285329736200804,0.26656719000366047,103,0.039841214061461794,naive,Motivation,crt2_total_stacked,0.5331343800073209,False
risk,crt2_total,-0.02743514910511377,0.09410280140015737,-0.2118766398494222,0.15700634163919466,-0.036372324425038474,0.7706349564047421,103,0.0800316521940001,naive,Motivation,crt2_total_stacked,0.7706349564047421,False
